Mass,F1,F2,F3,F4,F5
0,0,0,0,0,0
10,,,,,73.8
20,99.6,12,68.8,41.2,294.4
30,120.2,133.6,170.8,139.6,328
40,310.4,164.4,251.6,204,393.6
50,435.8,431.4,432.8,462.6,491.2
60,446,476.2,463.8,482,520.4
70,500,501.4,494.6,516.6,645
80,519,526.2,543.6,533.2,656.4
90,546.6,548,580,559.2,661
100,597,644.4,658,629.8,715.4
110,618,665.8,665.8,658.8,730.4
120,649.6,681,683.8,669.2,736.8
130,661.6,687.4,695.8,692,740.6
140,666,689.4,735.2,722.6,762.6
150,692.2,690,741.4,726.2,782.4
160,698.6,712.4,748.8,732.8,787.4
170,706,715.8,761,736.8,804.6
180,,,,,825.6
190,,,,,834
200,742.2,760.4,770.8,783,841.4
210,746.8,764.8,787.8,797.2,847.4
220,757.2,765.2,789,802.2,854
230,769,792.2,793.8,803.6,855.4
240,,,,,862.4
250,777.8,800.4,804.4,819,869.6
260,,,,,874
270,,,,,878.6
280,,,,,879.4
290,,,,,886
300,818.4,824.8,811.6,845.6,894.6
310,,,,,
320,,,,,900.8
330,,,,,
340,,,,,908.4
350,,,,,
360,,,,,
370,,,,,
380,,,,,
390,,,,,
400,,,,,
410,,,,,
420,,,,,
430,,,,,
440,,,,,
450,,,,,
460,,,,,
470,,,,,
480,,,,,
490,,,,,
500,876.8,901.4,898.4,884.2,928.8
510,,,,,
520,,,,,
530,,,,,
540,,,,,
550,,,,,
560,,,,,
570,,,,,
580,,,,,
590,,,,,
600,,,,,
610,,,,,
620,,,,,
630,,,,,
640,,,,,
650,,,,,
660,,,,,
670,,,,,
680,,,,,
690,,,,,
700,,,,,
710,,,,,
720,,,,,
730,,,,,
740,,,,,
750,,,,,
760,,,,,
770,,,,,
780,,,,,
790,,,,,
800,,,,,
810,,,,,
820,,,,,
830,,,,,
840,,,,,
850,,,,,
860,,,,,
870,,,,,
880,,,,,
890,,,,,
900,,,,,
910,,,,,
920,,,,,
930,,,,,
940,,,,,
950,,,,,
960,,,,,
970,,,,,
980,,,,,
990,,,,,
1000,,,,,
